epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,150.805,1.30212,2.7974,1.69358,0.77854,0.74605,0.81145,0.46718,1.23738,1.9413,1.67446,3.81882e-05,3.81882e-05,0.0668366
2,300.327,1.19473,1.99141,1.58487,0.85241,0.83055,0.88561,0.53144,1.15993,1.58759,1.59044,7.63205e-05,7.63205e-05,0.0335414
3,450.185,1.16262,1.83149,1.53809,0.8393,0.86794,0.89496,0.53939,1.14318,1.45345,1.56117,0.000113625,0.000113625,0.000245378
4,599.695,1.14787,1.76295,1.53608,0.87188,0.86271,0.91963,0.56024,1.13112,1.38472,1.53598,0.000112233,0.000112233,0.000112233
5,748.985,1.12619,1.66917,1.52698,0.89184,0.8794,0.9308,0.58274,1.10537,1.33588,1.51182,0.000110097,0.000110097,0.000110097
6,898.329,1.11979,1.6284,1.49982,0.88031,0.89123,0.92917,0.57675,1.10015,1.27876,1.53795,0.000107391,0.000107391,0.000107391
7,1046.36,1.07866,1.54166,1.47302,0.88612,0.89488,0.9313,0.58547,1.08781,1.24531,1.50791,0.000104146,0.000104146,0.000104146
8,1195.03,1.0671,1.49393,1.47151,0.91119,0.89099,0.93658,0.59015,1.08366,1.21016,1.53045,0.000100395,0.000100395,0.000100395
9,1343.64,1.05366,1.44508,1.45741,0.88808,0.91223,0.93759,0.58734,1.09038,1.21404,1.51401,9.61814e-05,9.61814e-05,9.61814e-05
10,1491.3,1.0386,1.41222,1.44694,0.89892,0.89619,0.93812,0.59311,1.07707,1.21391,1.51321,9.155e-05,9.155e-05,9.155e-05
11,1640.19,1.03227,1.39974,1.43071,0.89285,0.92586,0.94777,0.59485,1.09317,1.14759,1.51443,8.6552e-05,8.6552e-05,8.6552e-05
12,1789.04,1.01512,1.33461,1.41332,0.91073,0.91397,0.95084,0.61366,1.06643,1.1031,1.5044,8.12421e-05,8.12421e-05,8.12421e-05
13,1938.57,0.99474,1.29581,1.40962,0.90059,0.91304,0.94508,0.60953,1.03788,1.08646,1.46888,7.56785e-05,7.56785e-05,7.56785e-05
14,2086.67,0.971,1.26785,1.38568,0.90969,0.9257,0.95123,0.61975,1.03919,1.06092,1.46224,6.99221e-05,6.99221e-05,6.99221e-05
15,2236.05,0.96743,1.23239,1.37284,0.92208,0.91492,0.95422,0.62973,1.01705,1.04248,1.44817,6.4036e-05,6.4036e-05,6.4036e-05
16,2385.36,0.95258,1.21415,1.36951,0.91634,0.9282,0.95248,0.63125,1.00957,1.02723,1.45033,5.80847e-05,5.80847e-05,5.80847e-05
17,2534.34,0.94542,1.19724,1.36274,0.92673,0.91144,0.95404,0.63617,1.00825,1.0108,1.44342,5.21335e-05,5.21335e-05,5.21335e-05
18,2683.11,0.92455,1.16654,1.34362,0.9259,0.91415,0.95098,0.63943,1.00176,0.99488,1.42734,4.62474e-05,4.62474e-05,4.62474e-05
19,2832.19,0.9068,1.10696,1.32079,0.93303,0.93016,0.96162,0.64154,1.00429,0.95744,1.43661,4.0491e-05,4.0491e-05,4.0491e-05
20,2981.33,0.88476,1.09891,1.31171,0.93725,0.93457,0.96195,0.64915,0.98206,0.94202,1.41445,3.49274e-05,3.49274e-05,3.49274e-05
21,3131.23,0.83854,0.83639,1.26232,0.92146,0.94381,0.9597,0.6438,0.9891,0.94354,1.4278,2.96175e-05,2.96175e-05,2.96175e-05
22,3279.35,0.81244,0.79888,1.24352,0.94284,0.92514,0.96261,0.65305,0.97657,0.93285,1.42325,2.46195e-05,2.46195e-05,2.46195e-05
23,3428.5,0.79643,0.76755,1.23235,0.94302,0.92432,0.96288,0.66433,0.95973,0.914,1.39916,1.99881e-05,1.99881e-05,1.99881e-05
24,3577.81,0.77422,0.7434,1.21572,0.94496,0.93186,0.96447,0.66833,0.95164,0.9055,1.39202,1.57741e-05,1.57741e-05,1.57741e-05
25,3726.82,0.75772,0.7151,1.19987,0.94515,0.92931,0.96277,0.6684,0.9484,0.90086,1.39241,1.20237e-05,1.20237e-05,1.20237e-05
26,3875.61,0.74985,0.71737,1.19506,0.94421,0.92906,0.96322,0.66826,0.94883,0.89413,1.39093,8.77798e-06,8.77798e-06,8.77798e-06
